Model,Best Params,Train Accuracy,Test Accuracy,Test Jaccard,Test Precision,Test Recall,Test F1,Test ROC AUC
SVM,"{'classifier__C': 100, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",1.0,0.8529411764705882,0.8275862068965517,0.8508403361344538,0.8529411764705882,0.8423973362930078,0.9333333333333332
Gradient Boosting,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 50, 'classifier__subsample': 0.85}",1.0,0.8529411764705882,0.8275862068965517,0.8508403361344538,0.8529411764705882,0.8423973362930078,0.8488888888888888
CatBoost,"{'classifier__depth': 3, 'classifier__iterations': 100, 'classifier__l2_leaf_reg': 1, 'classifier__learning_rate': 0.05}",1.0,0.8529411764705882,0.8148148148148148,0.859313725490196,0.8529411764705882,0.8553105452707399,0.9155555555555556
Logistic Regression,"{'classifier__C': np.float64(1.0), 'classifier__solver': 'liblinear'}",0.9626865671641791,0.8235294117647058,0.7931034482758621,0.8154372860255215,0.8235294117647058,0.815893665158371,0.9288888888888889
Decision Tree,"{'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.9552238805970149,0.8235294117647058,0.8,0.8202839756592292,0.8235294117647058,0.8048552754435107,0.7444444444444445
AdaBoost,"{'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.9477611940298507,0.8235294117647058,0.7931034482758621,0.8154372860255215,0.8235294117647058,0.815893665158371,0.9177777777777778
XGBoost,"{'classifier__colsample_bytree': 0.8, 'classifier__gamma': 0, 'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}",1.0,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9244444444444445
Random Forest,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.9626865671641791,0.7941176470588235,0.7586206896551724,0.7876131221719457,0.7941176470588235,0.790080738177624,0.8888888888888888
KNN,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 9, 'classifier__weights': 'distance'}",1.0,0.7647058823529411,0.7419354838709677,0.7419878296146044,0.7647058823529411,0.7398070339246811,0.8555555555555555
