Model,Best Params,Train Accuracy,Test Accuracy,Test Jaccard,Test Precision,Test Recall,Test F1,Test ROC AUC
Gradient Boosting,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 500, 'classifier__subsample': 0.85}",1.0,0.8823529411764706,0.8518518518518519,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9288888888888889
CatBoost,"{'classifier__depth': 3, 'classifier__iterations': 100, 'classifier__l2_leaf_reg': 3, 'classifier__learning_rate': 0.2}",1.0,0.8529411764705882,0.8148148148148148,0.859313725490196,0.8529411764705882,0.8553105452707399,0.9333333333333333
Decision Tree,"{'classifier__criterion': 'gini', 'classifier__max_depth': 12, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",1.0,0.8529411764705882,0.8148148148148148,0.859313725490196,0.8529411764705882,0.8553105452707399,0.8288888888888888
Random Forest,"{'classifier__max_depth': 10, 'classifier__max_features': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",1.0,0.8529411764705882,0.8214285714285714,0.8489819004524887,0.8529411764705882,0.8500576701268744,0.9222222222222222
XGBoost,"{'classifier__colsample_bytree': 0.7, 'classifier__gamma': 0, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.9402985074626866,0.8235294117647058,0.8,0.8202839756592292,0.8235294117647058,0.8048552754435107,0.9377777777777777
Logistic Regression,"{'classifier__C': np.float64(10.0), 'classifier__solver': 'liblinear'}",0.9850746268656716,0.7941176470588235,0.7666666666666667,0.7804621848739496,0.7941176470588235,0.7793562708102109,0.9155555555555555
KNN,"{'classifier__metric': 'manhattan', 'classifier__n_neighbors': 9, 'classifier__weights': 'distance'}",1.0,0.7941176470588235,0.7666666666666667,0.7804621848739496,0.7941176470588235,0.7793562708102109,0.8555555555555555
AdaBoost,"{'classifier__learning_rate': 0.5, 'classifier__n_estimators': 200}",1.0,0.7941176470588235,0.7586206896551724,0.7876131221719457,0.7941176470588235,0.790080738177624,0.92
SVM,"{'classifier__C': 10, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.9850746268656716,0.7941176470588235,0.7666666666666667,0.7804621848739496,0.7941176470588235,0.7793562708102109,0.9199999999999999
